Term ID	Label	Parent Term	Definition	GECKO Category	Suggested Categories	Comment
GE:mhd_settled_accommodation_indicator	mhd_settled_accommodation_indicator		Settled Accommodation Indicator for the patient	survey administration			
GE:mhd_source_of_referral	mhd_source_of_referral		Source of initial referral	survey administration			
GE:mhd_start_date_mhcs	mhd_start_date_mhcs		Spell Start Date	date and time-related information			
GE:mhd_starttime	mhd_starttime		Depending on Episode Source Table this could be: Mental Health Act Legal Status Start Time, Supervised Community Treatment Recall Start Time	survey administration			
GE:mhd_status_of_service_request	mhd_status_of_service_request		Status of Service Request (Mental Health)	survey administration			
GE:mhd_teamtype	mhd_teamtype		Mental Health Team Type	survey administration			
GE:mhd_treat	mhd_treat		Intervention (Read)	survey administration			
GE:mhd_valid_nhs_number_flag	mhd_valid_nhs_number_flag		Indicates that the NHS number submitted was valid (and not default)	survey administration			
GE:mhd_valid_postcode_flag	mhd_valid_postcode_flag		Indicates that the full postcode was a valid residential postcode	survey administration			
GE:mhd_wardsec_level	mhd_wardsec_level		Ward Security Level	survey administration			
GE:mhd_weekly_hours_worked	mhd_weekly_hours_worked		Weekly hours worked for a patient in employment	socio-demographic and economic characteristics			
GE:mhd_year_of_first_known_psychiatric_care	mhd_year_of_first_known_psychiatric_care		submitted, not derived	date and time-related information			
GE:nhs_number_status	nhs_number_status		The trace status of the NHS Number	survey administration			
GE:ic_sub_cancer_desc	Sub Early cancer diagnosis		Descriptive sub-division of each identified cancer category. The following categories have been identified by clinicians.	oncological			
GE:date_of_registration	date_of_registration		Date of registration of the event	date and time-related information		maybe time point?	
GE:ic_annual_id	ic_annual_id		The ID that represents the financial year the YTD file falls within	unique identifiers			
GE:ic_epi_rp_days	ic_epi_rp_days		The number of days the episode was open (in the Reporting Period) based on the start and end dates of the episode. Where the episode start date is before the start or the reporting period, the start of the reporting period is used. Where end date is not present, date the episode was deemed to be inactive is used and if this is not present, the end of the reporting period is used.	date and time-related information			
GE:ic_episode_epi_days	ic_episode_epi_days		Indicates the length of an episode in days based on the start and end dates of the episode. Where end date is not present, the end of the reporting period is used.	date and time-related information			
GE:ic_eve_primarydiagnosis	ic_eve_primarydiagnosis		IC derivation name as csv column header name. Cleans primary diagnosis code using these steps; (a) clean code by removing full-stops (HES rule 460). (b) truncates code, replaces Os with 0s and removes codes shorter than three characters in length. (c) adds X to the end of three character codes, cleans codes with an X in 3rd position and change codes without a match within ICD 10 reference data to end in X. (d) change codes ending in X to 9 if no matching description. (e) class unmatched records as Invalid.	survey administration			
GE:ic_eve_secondarydiagnosis	ic_eve_secondarydiagnosis		IC derivation name as csv column header name. Cleans primary diagnosis code using these steps; (a) clean code by removing full-stops (HES rule 460). (b) truncates code, replaces Os with 0s and removes codes shorter than three characters in length. (c) adds X to the end of three character codes, cleans codes with an X in 3rd position and change codes without a match within ICD 10 reference data to end in X. (d) change codes ending in X to 9 if no matching description. (e) class unmatched records as Invalid.	survey administration			
GE:ic_inactive_timestamp	ic_inactive_timestamp		Used on record and episode. Not set for episodes and records where the IC_Source_Time_ID is the maximum held within the the YTD file. For others if the record / episode is open but the episode cannot be found in a superceding reporting period, record is stamped inactive with the first day of the next reporting period we would have expected to received the record / episode.	date and time-related information			
GE:ic_interim_ccg_code	ic_interim_ccg_code		Interim CCG Code	survey administration			
GE:ic_rec_ccg	ic_rec_ccg		This field is derived during processing. It shows the CCG of GP practice, for the patient, or if that was not provided, the CCG of residence.	survey administration			
GE:ic_rec_endrp_aot_flag	ic_rec_endrp_aot_flag		Indicates whether the record has an open Team episode with an AOT team at the end of the Reporting Period.	survey administration			
GE:ic_rec_endrp_cluster_flag	ic_rec_endrp_cluster_flag		Indicates whether the record has an open Team episode with an EIT team at the end of the Reporting Period.	survey administration			
GE:ic_rec_endrp_cluster_type	ic_rec_endrp_cluster_type		Shows the Cluster Code for the most recent Cluster episode that is open at the end of the reporting period for the record. Where more than 1 episode per record occurs records are prioritised by Episode ID.	survey administration			
GE:ic_rec_endrp_cpa_epi_12_months	ic_rec_endrp_cpa_epi_12_months		Indicates where the record has an open CPA episode that has been open for 365 days or more	survey administration			
GE:ic_rec_endrp_cpa_flag	ic_rec_endrp_cpa_flag		Indicates whether the record has an open CPA episode at the end of the Reporting Period.	survey administration			
GE:ic_rec_endrp_cpa_review_within_12mnths	ic_rec_endrp_cpa_review_within_12mnths		Indicates whether the record has an open spell at the end of the Reporting Period and a CPA review within the last 12 months	survey administration			
GE:ic_rec_endrp_eit_flag	ic_rec_endrp_eit_flag		Indicates whether the record has an open Team episode with an EIT team at the end of the Reporting Period.	survey administration			
GE:ic_rec_endrp_employment_status	ic_rec_endrp_employment_status		Shows the employment status for the most recent 'EMP' event within the last 12 months for each record with an open spell at the end of the reporting period	survey administration			
GE:ic_rec_endrp_honos_assessment_within_12mnths	ic_rec_endrp_honos_assessment_within_12mnths		Shows the settled accommodation Indicator for the most recent 'ACCOM' event within the last 12 months for each record with an open spell at the end of the reporting period	survey administration			
GE:ic_rec_endrp_hospital_spell_flag	ic_rec_endrp_hospital_spell_flag		Indicates where the record has an open WRDST or PROSP episode at the end of the reporting period	survey administration			
GE:ic_rec_endrp_mha_flag	ic_rec_endrp_mha_flag		"Indicates whether the record has an open MHA episode at the end of the Reporting Period, where it has a valid legal status and has not expired. Codes accepted as valid for this derivation are:
 '01','02','03','04','05','06','07','08','09','10','12','13','14','15','16','17','18','19','20','31','32','34','35','36'"	survey administration			
GE:ic_rec_endrp_pdiag_flag	ic_rec_endrp_pdiag_flag		Indicates whether the record has an open spell at the end of the Reporting Period and a valid recorded primary diagnosis within the last 12 months	survey administration			
GE:ic_rec_endrp_recall_flag	ic_rec_endrp_recall_flag		Indicates whether the record has an open recall episode at the end of the Reporting Period and where the RECALL has not expired.	survey administration			
GE:ic_rec_endrp_settled_accommodation_indicator	ic_rec_endrp_settled_accommodation_indicator		Shows the settled accommodation Indicator for the most recent 'ACCOM' event within the last 12 months for each record with an open spell at the end of the reporting period	survey administration			
GE:ic_rec_ethnicity	ic_rec_ethnicity		Cleansed ethnic category code. Removes the second character (where value is not equal 9 or 99) which is optional for use locally leaving the national code. Otherwise 99.	survey administration|ethnicity/race			
GE:ic_rec_rp_admission	ic_rec_rp_admission		Organisation Code (GP Practice Responsibility)	survey administration			
GE:ic_rec_rp_admission_formal	ic_rec_rp_admission_formal		"Calculates the number of admissions within the reporting period where there was a MHA episode starting on the same day and the MHD_LegStatCode had one of the following values:
 '2', '02', ' 2', '3', '03', ' 3', '7', '07', ' 7', '8', '08', ' 8', '9', '09', ' 9', '10', '12', '13', '14', '15', '16', '17', '18', '31', '32', '34'"	survey administration			
GE:ic_rec_rp_awol	ic_rec_rp_awol		Indicates where the record has an AWOL episode that starts in the reporting period and that lasts for more than 1 day	survey administration			
GE:ic_rec_rp_commissioners	ic_rec_rp_commissioners		Calculates, for the record, the number of distinct MHD_Commissioner_Codes for episodes of type COMMH	survey administration			
